# h_0	g	delta_effc	 omega
8.5	28	5.3479027e+00	3.6200494e-04
8.5	29	5.3579272e+00	3.5275847e-04
8.5	30	5.3175017e+00	3.4125226e-04
10.0	0	-1.0972807e+00	1.3803054e-04
10.0	1	-7.7116955e-01	1.1085037e-04
10.0	2	-4.5754650e-01	9.2271625e-05
10.0	3	-1.5502021e-01	7.9888490e-05
10.0	4	1.3786693e-01	7.1949797e-05
10.0	5	4.2254050e-01	6.7205901e-05
10.0	6	7.0032487e-01	6.4767479e-05
10.0	7	9.7240194e-01	6.3992239e-05
10.0	8	1.2397928e+00	6.4403443e-05
10.0	9	1.5033557e+00	6.5636504e-05
10.0	10	1.7637943e+00	6.7406649e-05
10.0	11	2.0216713e+00	6.9490334e-05
10.0	12	2.2774236e+00	7.1714369e-05
10.0	13	2.5313768e+00	7.3948578e-05
10.0	14	2.7837574e+00	7.6099617e-05
10.0	15	3.0347018e+00	7.8104958e-05
10.0	16	3.2842615e+00	7.9926876e-05
10.0	17	3.5324052e+00	8.1546670e-05
10.0	18	3.7790150e+00	8.2959388e-05
10.0	19	4.0238794e+00	8.4169291e-05
10.0	20	4.2666800e+00	8.5186129e-05
10.0	21	4.5069726e+00	8.6022207e-05
10.0	22	4.7441616e+00	8.6690146e-05
10.0	23	4.9774659e+00	8.7201202e-05
10.0	24	5.2058759e+00	8.7564001e-05
10.0	25	5.4280996e+00	8.7783563e-05
10.0	26	5.6424972e+00	8.7860494e-05
10.0	27	5.8470035e+00	8.7790266e-05
10.0	28	6.0390393e+00	8.7562530e-05
10.0	29	6.2154135e+00	8.7160445e-05
10.0	30	6.3722256e+00	8.6560056e-05
11.5	0	-1.0982746e+00	3.0791514e-05
11.5	1	-7.7180394e-01	2.4727381e-05
11.5	2	-4.5790000e-01	2.0582591e-05
11.5	3	-1.5513635e-01	1.7820168e-05
11.5	4	1.3797014e-01	1.6049335e-05
11.5	5	4.2286530e-01	1.4991275e-05
11.5	6	7.0089136e-01	1.4447592e-05
11.5	7	9.7324782e-01	1.4275021e-05
11.5	8	1.2409748e+00	1.4367241e-05
11.5	9	1.5049524e+00	1.4642962e-05
11.5	10	1.7659110e+00	1.5038708e-05
11.5	11	2.0244462e+00	1.5504675e-05
11.5	12	2.2810363e+00	1.6002310e-05
11.5	13	2.5360596e+00	1.6502673e-05
11.5	14	2.7898096e+00	1.6985071e-05
11.5	15	3.0425083e+00	1.7435717e-05
11.5	16	3.2943169e+00	1.7846405e-05
11.5	17	3.5453440e+00	1.8213231e-05
11.5	18	3.7956512e+00	1.8535431e-05
11.5	19	4.0452561e+00	1.8814395e-05
11.5	20	4.2941330e+00	1.9052858e-05
11.5	21	4.5422112e+00	1.9254279e-05
11.5	22	4.7893703e+00	1.9422382e-05
11.5	23	5.0354330e+00	1.9560836e-05
11.5	24	5.2801540e+00	1.9673029e-05
11.5	25	5.5232054e+00	1.9761925e-05
11.5	26	5.7641568e+00	1.9829976e-05
11.5	27	6.0024497e+00	1.9879053e-05
11.5	28	6.2373655e+00	1.9910408e-05
11.5	29	6.4679839e+00	1.9924622e-05
11.5	30	6.6931322e+00	1.9921558e-05
