# h_0	g	iX	iY	
5.5	26	-1.225233158203347752e-18	-8.716259059277217820e-19
5.5	27	2.879064987717383030e-18	-1.244682943815774636e-18
5.5	28	1.733029410082298109e-18	-1.651085061409684445e-20
5.5	29	-3.661723430980359625e-18	-1.194576812934292232e-18
5.5	30	2.487735766085859296e-18	2.037135458972399855e-18
7.0	0	-1.121336096893038298e-16	2.437075054348932244e-17
7.0	1	1.182051418552427212e-16	-5.205070064171877270e-17
7.0	2	1.903045863255472550e-16	-1.271441430266486923e-16
7.0	3	-5.141828803012255794e-17	4.966858860487456254e-17
7.0	4	-6.868420762695209599e-17	7.603773001921097039e-17
7.0	5	-2.675268860607900840e-17	3.631998413334356797e-17
7.0	6	3.567025147477467360e-17	-5.230249235775265260e-17
7.0	7	2.637321784571090609e-17	-4.324839939533885432e-17
7.0	8	6.887394300715006314e-17	-1.282493350146764217e-16
7.0	9	4.468268203356320255e-17	-9.151650115805195796e-17
7.0	10	1.536856579498266014e-17	-3.444315364183221625e-17
7.0	11	-1.432502120396406173e-17	3.425116059280382790e-17
7.0	12	-1.579547040039709263e-17	4.266320834731578313e-17
7.0	13	-1.584290424544320095e-17	4.187022150989704771e-17
7.0	14	7.233661369552040748e-18	-2.053503975201848318e-17
7.0	15	1.453847350667469073e-17	-4.763233496015662810e-17
7.0	16	1.012712591737348413e-17	-3.314719165372561949e-17
7.0	17	7.008350605582721955e-18	-2.359311272364611466e-17
7.0	18	1.162129203632940895e-18	-6.257705333583608885e-18
7.0	19	4.933119884809538213e-18	-1.803468910032532312e-17
7.0	20	3.741344528022624391e-18	-1.448560117882347094e-17
7.0	21	4.031876828931039689e-18	-1.649206587574013695e-17
7.0	22	-1.301466123456131937e-18	5.825714329847859985e-18
7.0	23	3.676122991083779990e-19	-2.329813049657659156e-18
7.0	24	2.312399946004444074e-18	-6.867763820758849640e-18
7.0	25	9.901815153403331409e-19	-4.102781307312436257e-18
7.0	26	-3.631653761352515148e-19	2.546881415181442126e-18
7.0	27	-8.893845946164857253e-21	-1.503645260757513293e-18
7.0	28	9.160661324555448834e-19	-1.451832050602461741e-18
7.0	29	6.751911380801233505e-19	-2.497081787681616348e-18
7.0	30	5.906996015914681804e-19	-9.849241743948402997e-19
8.5	0	-7.084583570834855562e-18	2.402657381420569088e-18
8.5	1	-4.532981520525630517e-17	2.498393063081751240e-17
8.5	2	-2.816553956209805970e-17	2.058648015401586995e-17
8.5	3	7.833360696207926692e-18	-6.628619553708107173e-18
8.5	4	-2.868392372581723545e-17	3.064910525545450077e-17
8.5	5	-3.300379175681284830e-17	4.173581312302067727e-17
8.5	6	-4.227710846334968669e-17	5.983878516577122957e-17
8.5	7	-1.987139294258404939e-17	3.161281983132208935e-17
8.5	8	4.861291490883185824e-17	-8.447313285282238897e-17
8.5	9	-2.741676243672215206e-17	5.177408511946384342e-17
8.5	10	-5.039846036162863610e-18	1.067112568878671982e-17
8.5	11	-8.438142220546608124e-18	1.854695971339807196e-17
8.5	12	-1.275801025154212391e-17	3.054946349402266300e-17
8.5	13	-6.962187309955895798e-18	1.800782497177463301e-17
8.5	14	-2.159934015498379198e-18	5.517343370096342887e-18
8.5	15	-4.773454174250991722e-18	1.381336906362415317e-17
8.5	16	-5.486232399365138790e-18	1.597634265756464469e-17
8.5	17	-3.671887826347339970e-19	1.026479916342725253e-18
8.5	18	-3.275899923505471923e-18	1.018348697857842969e-17
8.5	19	-1.103366292917036297e-18	4.103107588855205763e-18
